State,Sightseeing Place,Category
Andhra Pradesh,Tirumala Venkateswara Temple,Religious
Andhra Pradesh,Araku Valley,Nature
Andhra Pradesh,Borra Caves,Adventure
Andhra Pradesh,Lepakshi Temple,Historical
Andhra Pradesh,Kondapalli Fort,Historical
Arunachal Pradesh,Tawang Monastery,Religious
Arunachal Pradesh,Sela Pass,Nature
Arunachal Pradesh,Namdapha National Park,Nature
Arunachal Pradesh,Ziro Valley,Nature
Arunachal Pradesh,Ita Fort,Historical
Assam,Kaziranga National Park,Nature
Assam,Kamakhya Temple,Religious
Assam,Majuli Island,Cultural
Assam,Sivasagar,Historical
Assam,Manas National Park,Nature
Bihar,Mahabodhi Temple,Religious
Bihar,Nalanda University Ruins,Historical
Bihar,Vikramshila Ruins,Historical
Bihar,Takht Sri Patna Sahib,Religious
Bihar,Valmiki National Park,Nature
Chhattisgarh,Chitrakote Falls,Nature
Chhattisgarh,Barnawapara Sanctuary,Nature
Chhattisgarh,Bhoramdeo Temple,Religious
Chhattisgarh,Kanger Valley National Park,Adventure
Chhattisgarh,Danteshwari Temple,Religious
Goa,Basilica of Bom Jesus,Religious
Goa,Calangute Beach,Leisure
Goa,Dudhsagar Falls,Nature
Goa,Fort Aguada,Historical
Goa,Anjuna Flea Market,Cultural
Arunachal Pradesh,Bomdila Monastery,Cultural
Chhattisgarh,Barnawapara Wildlife Sanctuary,Wildlife
Chhattisgarh,Sirpur Heritage Site,Historical
Haryana,Kurukshetra,Religious
Haryana,Sultanpur Bird Sanctuary,Wildlife
Haryana,Morni Hills,Nature
Haryana,Panipat Museum,Historical
Haryana,Yadavindra Gardens,Cultural
Manipur,Loktak Lake,Nature
Manipur,Kangla Fort,Historical
Manipur,Shree Govindajee Temple,Religious
Manipur,Keibul Lamjao National Park,Wildlife
Manipur,Andro Village,Cultural
Meghalaya,Living Root Bridges,Adventure
Meghalaya,Cherrapunjee,Nature
Meghalaya,Umiam Lake,Nature
Meghalaya,Nohkalikai Falls,Nature
Meghalaya,Shillong Peak,Viewpoint
Mizoram,Reiek Tlang,Nature
Mizoram,Phawngpui Blue Mountain,Nature
Mizoram,Aizawl,Cultural
Mizoram,Vantawng Falls,Nature
Mizoram,Durtlang Hills,Viewpoint
Nagaland,Kohima War Cemetery,Historical
Nagaland,Dzükou Valley,Nature
Nagaland,Hornbill Festival,Cultural
Nagaland,Japfu Peak,Adventure
Nagaland,Touphema Village,Cultural
Punjab,Golden Temple,Religious
Punjab,Jallianwala Bagh,Historical
Punjab,Wagah Border,Cultural
Punjab,Anandpur Sahib,Religious
Punjab,Sheesh Mahal,Historical
Sikkim,Tsomgo Lake,Nature
Sikkim,Nathula Pass,Adventure
Sikkim,Rumtek Monastery,Religious
Sikkim,Pelling,Nature
Sikkim,Yumthang Valley,Nature
Tripura,Unakoti,Historical
Tripura,Neermahal,Historical
Tripura,Tripura Sundari Temple,Religious
Tripura,Sepahijala Wildlife Sanctuary,Wildlife
Tripura,Jampui Hills,Nature
Chhattisgarh,Lake Point 1,Leisure
Andhra Pradesh,Park Point 2,Adventure
Punjab,Lake Point 3,Leisure
Chhattisgarh,Park Point 4,Leisure
Mizoram,Waterfall Point 5,Religious
Arunachal Pradesh,Lake Point 6,Cultural
Punjab,Cave Point 7,Nature
Meghalaya,Sanctuary Point 8,Religious
Goa,Monastery Point 9,Nature
Tripura,Beach Point 10,Religious
Manipur,Monastery Point 11,Leisure
Assam,Lake Point 12,Leisure
Goa,Sanctuary Point 13,Viewpoint
Goa,Lake Point 14,Viewpoint
Assam,Hilltop Point 15,Cultural
Chhattisgarh,Monastery Point 16,Leisure
Arunachal Pradesh,Beach Point 17,Wildlife
Goa,Lake Point 18,Historical
Chhattisgarh,Fort Point 19,Religious
Bihar,Park Point 20,Nature
Sikkim,Fort Point 21,Viewpoint
Goa,Temple Point 22,Viewpoint
Haryana,Fort Point 23,Viewpoint
Haryana,Fort Point 24,Wildlife
Manipur,Cave Point 25,Religious
Sikkim,Lake Point 26,Wildlife
Mizoram,Hilltop Point 27,Adventure
Assam,Beach Point 28,Nature
Andhra Pradesh,Beach Point 29,Wildlife
Haryana,Sanctuary Point 30,Leisure
Nagaland,Sanctuary Point 31,Nature
Chhattisgarh,Park Point 32,Historical
Punjab,Monastery Point 33,Adventure
Goa,Waterfall Point 34,Religious
Tripura,Beach Point 35,Adventure
Nagaland,Sanctuary Point 36,Cultural
Manipur,Temple Point 37,Viewpoint
Sikkim,Cave Point 38,Cultural
Meghalaya,Monastery Point 39,Cultural
Mizoram,Park Point 40,Historical
Manipur,Hilltop Point 41,Leisure
Nagaland,Park Point 42,Leisure
Sikkim,Cave Point 43,Nature
Chhattisgarh,Lake Point 44,Nature
Chhattisgarh,Waterfall Point 45,Leisure
Chhattisgarh,Park Point 46,Religious
Tripura,Temple Point 47,Cultural
Goa,Hilltop Point 48,Religious
Punjab,Hilltop Point 49,Nature
Andhra Pradesh,Lake Point 50,Nature
Punjab,Hilltop Point 51,Religious
Chhattisgarh,Waterfall Point 52,Nature
Manipur,Temple Point 53,Adventure
Haryana,Hilltop Point 54,Cultural
Mizoram,Hilltop Point 55,Historical
Mizoram,Beach Point 56,Cultural
Tripura,Park Point 57,Wildlife
Tripura,Temple Point 58,Religious
Haryana,Cave Point 59,Wildlife
Manipur,Monastery Point 60,Religious
Haryana,Lake Point 61,Adventure
Sikkim,Temple Point 62,Historical
Tripura,Hilltop Point 63,Nature
Tripura,Sanctuary Point 64,Religious
Meghalaya,Park Point 65,Viewpoint
Assam,Monastery Point 66,Nature
Manipur,Temple Point 67,Cultural
Goa,Sanctuary Point 68,Religious
Haryana,Waterfall Point 69,Cultural
Andhra Pradesh,Cave Point 70,Historical
Assam,Beach Point 71,Cultural
Manipur,Cave Point 72,Wildlife
Sikkim,Park Point 73,Religious
Haryana,Temple Point 74,Wildlife
Andhra Pradesh,Waterfall Point 75,Nature
Arunachal Pradesh,Lake Point 76,Wildlife
Assam,Monastery Point 77,Wildlife
Nagaland,Fort Point 78,Religious
Punjab,Fort Point 79,Viewpoint
Assam,Beach Point 80,Wildlife
Arunachal Pradesh,Park Point 81,Cultural
Andhra Pradesh,Cave Point 82,Viewpoint
Manipur,Monastery Point 83,Wildlife
Punjab,Sanctuary Point 84,Leisure
Nagaland,Hilltop Point 85,Wildlife
Bihar,Park Point 86,Cultural
Chhattisgarh,Beach Point 87,Religious
Meghalaya,Temple Point 88,Nature
Haryana,Lake Point 89,Historical
Nagaland,Monastery Point 90,Historical
Nagaland,Hilltop Point 91,Nature
Sikkim,Monastery Point 92,Viewpoint
Nagaland,Waterfall Point 93,Nature
Arunachal Pradesh,Beach Point 94,Cultural
Haryana,Sanctuary Point 95,Historical
Sikkim,Beach Point 96,Nature
Arunachal Pradesh,Cave Point 97,Cultural
Sikkim,Waterfall Point 98,Religious
Manipur,Sanctuary Point 99,Adventure
Punjab,Park Point 100,Adventure
Nagaland,Park Point 101,Adventure
Chhattisgarh,Beach Point 102,Cultural
Goa,Waterfall Point 103,Viewpoint
Meghalaya,Temple Point 104,Viewpoint
Assam,Sanctuary Point 105,Religious
Arunachal Pradesh,Park Point 106,Historical
Tripura,Lake Point 107,Religious
Sikkim,Waterfall Point 108,Historical
Manipur,Sanctuary Point 109,Religious
Meghalaya,Waterfall Point 110,Cultural
Chhattisgarh,Beach Point 111,Historical
Sikkim,Beach Point 112,Wildlife
Punjab,Temple Point 113,Cultural
Meghalaya,Hilltop Point 114,Religious
Andhra Pradesh,Beach Point 115,Religious
Arunachal Pradesh,Beach Point 116,Cultural
Meghalaya,Fort Point 117,Viewpoint
Sikkim,Hilltop Point 118,Adventure
Bihar,Temple Point 119,Viewpoint
Sikkim,Lake Point 120,Wildlife
Haryana,Beach Point 121,Historical
Goa,Fort Point 122,Nature
Haryana,Cave Point 123,Historical
Mizoram,Lake Point 124,Historical
Chhattisgarh,Fort Point 125,Viewpoint
Bihar,Sanctuary Point 126,Historical
Chhattisgarh,Cave Point 127,Cultural
Arunachal Pradesh,Waterfall Point 128,Adventure
Manipur,Hilltop Point 129,Adventure
Mizoram,Beach Point 130,Wildlife
Arunachal Pradesh,Temple Point 131,Leisure
Manipur,Temple Point 132,Religious
Sikkim,Monastery Point 133,Leisure
Meghalaya,Hilltop Point 134,Nature
Andhra Pradesh,Lake Point 135,Wildlife
Nagaland,Beach Point 136,Wildlife
Chhattisgarh,Hilltop Point 137,Historical
Andhra Pradesh,Sanctuary Point 138,Wildlife
Chhattisgarh,Waterfall Point 139,Religious
Bihar,Monastery Point 140,Viewpoint
Mizoram,Cave Point 141,Historical
Manipur,Fort Point 142,Viewpoint
Meghalaya,Fort Point 143,Religious
Punjab,Cave Point 144,Religious
Mizoram,Monastery Point 145,Nature
Andhra Pradesh,Lake Point 146,Cultural
Manipur,Monastery Point 147,Viewpoint
Assam,Monastery Point 148,Historical
Chhattisgarh,Cave Point 149,Leisure
Chhattisgarh,Waterfall Point 150,Religious
Mizoram,Beach Point 151,Viewpoint
Chhattisgarh,Beach Point 152,Adventure
Andhra Pradesh,Park Point 153,Adventure
