Name,Google_Rating,Google_Reviews_Lakh,Entrance_Fee_INR,Established_Year,Opening_Time,Closing_Time,Avg_Visit_Duration_hr,Category,Significance,City,State,Zone,Airport_within_50km,Weekly_Off,DSLR_Allowed,Best_Time_to_Visit,Popularity_Score,Avg_Visit_Duration_min
Heritage Gallery 1,4.4,0.263,10,1973,08:00,22:00,1.39,leisure.park,Nature,Jaipur,Rajasthan,RJ,Yes,Wednesday,Yes,All Year,69,81
Lotus Gurudwara 2,4.21,0.102,0,2009,08:00,20:00,1.16,entertainment.cinema,Cultural,Jaipur,Rajasthan,RJ,Yes,Monday,Yes,Nov–Feb,90,76
Harmony Mall 3,4.25,0.037,0,1953,06:00,20:00,1.09,entertainment.museum,Popular,Bengaluru,Karnataka,KA,No,Wednesday,No,Jun–Aug,45,82
Riverside Fort 4,4.51,0.188,100,1984,06:00,20:00,0.62,entertainment.museum,Family,Patiala,Punjab,PB,No,Friday,No,Nov–Feb,76,27
Central Park 5,3.65,0.168,0,1967,07:00,20:00,1.22,tourism.sights.viewpoint,Spiritual,Jalandhar,Punjab,PB,Yes,Friday,No,Jun–Aug,60,76
Starlight Restaurant 6,4.15,0.098,0,2002,07:00,17:00,1.26,entertainment.zoo,Historic,Patiala,Punjab,PB,Yes,Saturday,Yes,Jun–Aug,66,49
Lotus Mall 7,4.33,0.015,500,1950,09:00,23:00,1.19,entertainment.museum,Popular,Patiala,Punjab,PB,Yes,None,Unknown,Nov–Feb,72,85
Central Square 8,4.56,0.015,0,1990,09:00,23:00,2.1,commercial.shopping_mall,Family,Lucknow,Uttar Pradesh,UP,Yes,Saturday,No,Mar–May,70,143
Old Town Temple 9,4.1,0.221,20,1993,08:00,19:00,0.88,entertainment.museum,Nature,Jaipur,Rajasthan,RJ,Yes,Thursday,Unknown,All Year,52,52
Harmony Gallery 10,4.59,0.165,50,1976,06:00,23:00,2.14,religion.place_of_worship.sikhism,Family,Chandigarh,Chandigarh,CH,Yes,Sunday,No,Oct–Mar,68,127
Galaxy Temple 11,3.63,0.142,500,1972,10:00,23:00,2.33,catering.restaurant,Local,Pune,Maharashtra,MH,Yes,Wednesday,Yes,Oct–Mar,45,151
Central Mall 12,4.12,0.035,500,1994,06:00,21:00,1.16,catering.fast_food.pizza,Historic,Mumbai,Maharashtra,MH,No,Wednesday,Unknown,Mar–May,65,74
Old Town Viewpoint 13,4.75,0.453,0,1950,06:00,19:00,1.64,sport.fitness.fitness_centre,Family,Mumbai,Maharashtra,MH,Yes,Thursday,Unknown,Jun–Aug,88,94
Sunset Mall 14,3.14,0.05,0,1993,08:00,22:00,1.78,heritage.unesco,Family,Mumbai,Maharashtra,MH,No,Monday,Yes,All Year,46,85
Riverside Arena 15,3.93,0.059,0,1988,07:00,19:00,1.38,religion.place_of_worship.sikhism,Spiritual,Chandigarh,Chandigarh,CH,Yes,Saturday,No,Jun–Aug,48,68
Royal Zoo 16,4.24,0.14,0,1950,08:00,22:00,1.15,tourism.attraction,Local,Kolkata,West Bengal,WB,Yes,Monday,Unknown,Jun–Aug,64,51
Riverside Arena 17,4.66,0.054,50,1973,10:00,20:00,2.1,catering.fast_food.pizza,Nature,Lucknow,Uttar Pradesh,UP,Yes,Thursday,No,Nov–Feb,73,129
Starlight Arcade 18,4.4,0.033,10,1952,09:00,20:00,1.93,entertainment.museum,Popular,Kolkata,West Bengal,WB,No,Tuesday,Unknown,All Year,52,117
Meadow Arena 19,3.78,0.235,0,1950,08:00,20:00,1.88,commercial.shopping_mall,Historic,Ahmedabad,Gujarat,GJ,Yes,Tuesday,No,Nov–Feb,47,123
Fort Museum 20,4.95,0.052,0,2009,06:00,18:00,1.82,tourism.attraction,Historic,Bengaluru,Karnataka,KA,No,Sunday,Yes,All Year,89,111
Fort Square 21,3.96,0.241,100,1969,06:00,20:00,0.82,entertainment.museum,Local,Pune,Maharashtra,MH,No,Wednesday,Yes,Nov–Feb,61,62
Central Gallery 22,4.27,0.235,20,1990,09:00,17:00,0.53,entertainment.cinema,Spiritual,Pune,Maharashtra,MH,Yes,Tuesday,Yes,Mar–May,65,26
Royal Zoo 23,4.01,0.273,50,1982,09:00,19:00,0.61,religion.place_of_worship.sikhism,Local,Bengaluru,Karnataka,KA,No,Wednesday,Unknown,Nov–Feb,47,25
