State,Sightseeing Place,Activity,Language Preferred,Hotel Nearby,Hotel Price (INR),Famous Food,Category
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Historical Tour,Tamil,Lloyd-Davis Hotel,4367,Thali,Romantic
Andhra Pradesh,Palace in Andhra Pradesh,Cultural Dance,Hindi,Jordan Ltd Hotel,6101,Rajasthani Laal Maas,Adventure
Andhra Pradesh,Backwaters in Andhra Pradesh,Historical Tour,English,Murray and Sons Hotel,5879,Thali,Wildlife
Andhra Pradesh,Hill Station in Andhra Pradesh,Shopping,English,"Parsons, Perez and Collins Hotel",5347,Rajasthani Laal Maas,Historical
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Trekking,Punjabi,Torres-Brown Hotel,2222,Idiyappam,Romantic
Andhra Pradesh,Wildlife Sanctuary in Andhra Pradesh,Shopping,Tamil,Blair LLC Hotel,9504,Idiyappam,Religious
Andhra Pradesh,Backwaters in Andhra Pradesh,Shopping,Punjabi,Williams and Sons Hotel,2274,Chole Bhature,Adventure
Andhra Pradesh,Palace in Andhra Pradesh,Wildlife Safari,Malayalam,Garcia-Kerr Hotel,8975,Idiyappam,Historical
Andhra Pradesh,Fort in Andhra Pradesh,Boating,Malayalam,"Ferguson, Anderson and Weber Hotel",7582,Rajasthani Laal Maas,Romantic
Andhra Pradesh,Fort in Andhra Pradesh,Boating,Malayalam,Taylor-Day Hotel,7181,Dosa,Religious
Andhra Pradesh,Fort in Andhra Pradesh,Historical Tour,Malayalam,Thompson Inc Hotel,9159,Chole Bhature,Cultural
Andhra Pradesh,Hill Station in Andhra Pradesh,Boating,Konkani,Davis PLC Hotel,9602,Rajasthani Laal Maas,Romantic
Andhra Pradesh,Temple in Andhra Pradesh,Camping,Tamil,Mcgrath Ltd Hotel,2916,Prawn Curry,Adventure
Andhra Pradesh,Beach in Andhra Pradesh,Camping,Malayalam,Foster-Pierce Hotel,9144,Dosa,Cultural
Andhra Pradesh,Fort in Andhra Pradesh,Shopping,Punjabi,Rush Ltd Hotel,4191,Thali,Adventure
Andhra Pradesh,Fort in Andhra Pradesh,Shopping,Punjabi,Lutz Group Hotel,3876,Prawn Curry,Adventure
Andhra Pradesh,Fort in Andhra Pradesh,Cultural Dance,Konkani,"Torres, Goodwin and Stewart Hotel",4112,Idiyappam,Cultural
